injection_id,anomaly_type,expected_issue_type,row_id,source_row_id,row_index,column,original_value,corrupted_value,repairable,notes
m1-0059,rare_category,rare_category,m1-row-03925,67864,3925,work_type,Private,__M1_RARE_WORK_TYPE_004__,True,Categorical value was replaced with a deterministic singleton category.
m1-0060,rare_category,rare_category,m1-row-01681,30214,1681,smoking_status,never smoked,__M1_RARE_SMOKING_STATUS_005__,True,Categorical value was replaced with a deterministic singleton category.
m1-0061,rare_category,rare_category,m1-row-00428,7789,428,work_type,Private,__M1_RARE_WORK_TYPE_006__,True,Categorical value was replaced with a deterministic singleton category.
m1-0062,rare_category,rare_category,m1-row-04084,70610,4084,gender,Female,__M1_RARE_GENDER_007__,True,Categorical value was replaced with a deterministic singleton category.
m1-0063,rare_category,rare_category,m1-row-02232,39708,2232,smoking_status,formerly smoked,__M1_RARE_SMOKING_STATUS_008__,True,Categorical value was replaced with a deterministic singleton category.
m1-0064,rare_category,rare_category,m1-row-04099,70874,4099,smoking_status,Unknown,__M1_RARE_SMOKING_STATUS_009__,True,Categorical value was replaced with a deterministic singleton category.
m1-0065,rare_category,rare_category,m1-row-00266,5121,266,smoking_status,Unknown,__M1_RARE_SMOKING_STATUS_010__,True,Categorical value was replaced with a deterministic singleton category.
m1-0066,rare_category,rare_category,m1-row-02179,38673,2179,gender,Female,__M1_RARE_GENDER_011__,True,Categorical value was replaced with a deterministic singleton category.
m1-0067,rare_category,rare_category,m1-row-02456,43507,2456,work_type,Private,__M1_RARE_WORK_TYPE_012__,True,Categorical value was replaced with a deterministic singleton category.
m1-0068,rare_category,rare_category,m1-row-01836,32645,1836,smoking_status,smokes,__M1_RARE_SMOKING_STATUS_013__,True,Categorical value was replaced with a deterministic singleton category.
m1-0069,rare_category,rare_category,m1-row-01519,27435,1519,gender,Female,__M1_RARE_GENDER_014__,True,Categorical value was replaced with a deterministic singleton category.
m1-0070,rare_category,rare_category,m1-row-00263,5046,263,work_type,Self-employed,__M1_RARE_WORK_TYPE_015__,True,Categorical value was replaced with a deterministic singleton category.
m1-0071,rare_category,rare_category,m1-row-02463,43698,2463,work_type,Govt_job,__M1_RARE_WORK_TYPE_016__,True,Categorical value was replaced with a deterministic singleton category.
m1-0072,rare_category,rare_category,m1-row-01940,34621,1940,work_type,children,__M1_RARE_WORK_TYPE_017__,True,Categorical value was replaced with a deterministic singleton category.
m1-0073,cross_column_consistency,cross_column_consistency,m1-row-01105,19692,1105,"record_start_day,record_end_day",35<=40,50>40,False,record_start_day was made larger than record_end_day.
m1-0074,cross_column_consistency,cross_column_consistency,m1-row-00095,2092,95,"record_start_day,record_end_day",105<=110,120>110,False,record_start_day was made larger than record_end_day.
m1-0075,cross_column_consistency,cross_column_consistency,m1-row-00119,2578,119,"record_start_day,record_end_day",129<=134,144>134,False,record_start_day was made larger than record_end_day.
m1-0076,cross_column_consistency,cross_column_consistency,m1-row-03672,63455,3672,"record_start_day,record_end_day",82<=87,97>87,False,record_start_day was made larger than record_end_day.
m1-0077,cross_column_consistency,cross_column_consistency,m1-row-00320,6090,320,"record_start_day,record_end_day",90<=95,105>95,False,record_start_day was made larger than record_end_day.
m1-0078,cross_column_consistency,cross_column_consistency,m1-row-00128,2751,128,"record_start_day,record_end_day",18<=23,33>23,False,record_start_day was made larger than record_end_day.
m1-0079,cross_column_consistency,cross_column_consistency,m1-row-01632,29229,1632,"record_start_day,record_end_day",82<=87,97>87,False,record_start_day was made larger than record_end_day.
m1-0080,cross_column_consistency,cross_column_consistency,m1-row-02230,39683,2230,"record_start_day,record_end_day",80<=85,95>85,False,record_start_day was made larger than record_end_day.
m1-0081,cross_column_consistency,cross_column_consistency,m1-row-03026,52847,3026,"record_start_day,record_end_day",36<=41,51>41,False,record_start_day was made larger than record_end_day.
m1-0082,cross_column_consistency,cross_column_consistency,m1-row-01148,20421,1148,"record_start_day,record_end_day",78<=83,93>83,False,record_start_day was made larger than record_end_day.
m1-0083,cross_column_consistency,cross_column_consistency,m1-row-00105,2390,105,"record_start_day,record_end_day",115<=120,130>120,False,record_start_day was made larger than record_end_day.
m1-0084,cross_column_consistency,cross_column_consistency,m1-row-02555,45357,2555,"record_start_day,record_end_day",45<=50,60>50,False,record_start_day was made larger than record_end_day.
m1-0085,cross_column_consistency,cross_column_consistency,m1-row-02207,39229,2207,"record_start_day,record_end_day",57<=62,72>62,False,record_start_day was made larger than record_end_day.
m1-0086,cross_column_consistency,cross_column_consistency,m1-row-03377,58568,3377,"record_start_day,record_end_day",27<=32,42>32,False,record_start_day was made larger than record_end_day.
m1-0087,cross_column_consistency,cross_column_consistency,m1-row-02457,43510,2457,"record_start_day,record_end_day",67<=72,82>72,False,record_start_day was made larger than record_end_day.
m1-0088,cross_column_consistency,cross_column_consistency,m1-row-00458,8203,458,"record_start_day,record_end_day",108<=113,123>113,False,record_start_day was made larger than record_end_day.
m1-0089,duplicate_record,duplicate_record,m1-dup-00000,35737,4228,source_row_id,m1-row-02005,m1-dup-00000,False,A duplicate row was appended with the same source_row_id.
m1-0090,duplicate_record,duplicate_record,m1-dup-00001,19419,4229,source_row_id,m1-row-01092,m1-dup-00001,False,A duplicate row was appended with the same source_row_id.
m1-0091,duplicate_record,duplicate_record,m1-dup-00002,52050,4230,source_row_id,m1-row-02971,m1-dup-00002,False,A duplicate row was appended with the same source_row_id.
m1-0092,duplicate_record,duplicate_record,m1-dup-00003,63453,4231,source_row_id,m1-row-03671,m1-dup-00003,False,A duplicate row was appended with the same source_row_id.
m1-0093,duplicate_record,duplicate_record,m1-dup-00004,32826,4232,source_row_id,m1-row-01845,m1-dup-00004,False,A duplicate row was appended with the same source_row_id.
m1-0094,duplicate_record,duplicate_record,m1-dup-00005,41820,4233,source_row_id,m1-row-02354,m1-dup-00005,False,A duplicate row was appended with the same source_row_id.
m1-0095,duplicate_record,duplicate_record,m1-dup-00006,17683,4234,source_row_id,m1-row-01004,m1-dup-00006,False,A duplicate row was appended with the same source_row_id.
m1-0096,duplicate_record,duplicate_record,m1-dup-00007,53815,4235,source_row_id,m1-row-03076,m1-dup-00007,False,A duplicate row was appended with the same source_row_id.
m1-0097,duplicate_record,duplicate_record,m1-dup-00008,1116,4236,source_row_id,m1-row-00058,m1-dup-00008,False,A duplicate row was appended with the same source_row_id.
m1-0098,duplicate_record,duplicate_record,m1-dup-00009,40390,4237,source_row_id,m1-row-02272,m1-dup-00009,False,A duplicate row was appended with the same source_row_id.
m1-0099,duplicate_record,duplicate_record,m1-dup-00010,38074,4238,source_row_id,m1-row-02138,m1-dup-00010,False,A duplicate row was appended with the same source_row_id.
m1-0100,duplicate_record,duplicate_record,m1-dup-00011,68721,4239,source_row_id,m1-row-03985,m1-dup-00011,False,A duplicate row was appended with the same source_row_id.
